[2025-02-07 00:20:53] Worker ID: Some(1), Checkpoint ID: Some(1), Method: Fingerprint, Status: Successful
[2025-03-05 23:17:48] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:18:16] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:18:34] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:18:55] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:19:13] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:19:31] Worker ID: Some(1), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:19:48] Worker ID: Some(3), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:20:56] Worker ID: Some(3), Checkpoint ID: Some(1003), Method: RFID, Status: Failed

[2025-03-05 23:26:16] Worker ID: Some(1), Checkpoint ID: Some(1004), Method: RFID, Status: Failed

[2025-03-05 23:26:36] Worker ID: Some(1), Checkpoint ID: Some(1004), Method: RFID, Status: Failed

[2025-03-05 23:27:11] Worker ID: Some(1), Checkpoint ID: Some(1005), Method: RFID, Status: Failed

[2025-03-05 23:27:33] Worker ID: Some(1), Checkpoint ID: Some(1005), Method: RFID, Status: Failed

[2025-03-05 23:30:00] Worker ID: Some(1), Checkpoint ID: Some(1006), Method: RFID, Status: Failed

[2025-03-05 23:37:47] Worker ID: Some(1), Checkpoint ID: Some(1008), Method: RFID, Status: Failed

[2025-03-05 23:38:09] Worker ID: Some(1), Checkpoint ID: Some(1008), Method: RFID, Status: Failed

[2025-03-05 23:43:01] Worker ID: Some(1), Checkpoint ID: Some(1009), Method: RFID, Status: Failed

[2025-03-05 23:48:21] Worker ID: Some(1), Checkpoint ID: Some(1010), Method: RFID, Status: Failed

[2025-03-05 23:49:10] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Successful

[2025-03-05 23:49:17] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: Fingerprint, Status: Successful

[2025-03-05 23:49:40] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:49:58] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:50:17] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:50:44] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:51:06] Worker ID: Some(3), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:51:36] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:51:58] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:52:18] Worker ID: Some(1), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:52:38] Worker ID: Some(3), Checkpoint ID: Some(1011), Method: RFID, Status: Failed

[2025-03-05 23:56:58] Worker ID: Some(3), Checkpoint ID: Some(1012), Method: RFID, Status: Failed

[2025-03-05 23:57:32] Worker ID: Some(1), Checkpoint ID: Some(1012), Method: RFID, Status: Failed

[2025-03-05 23:57:52] Worker ID: Some(3), Checkpoint ID: Some(1012), Method: RFID, Status: Failed

[2025-03-06 00:01:26] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-03-06 00:01:43] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-03-06 00:01:56] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-03-06 00:02:08] Worker ID: Some(1), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-03-06 00:02:22] Worker ID: Some(3), Checkpoint ID: Some(1013), Method: RFID, Status: Failed

[2025-03-06 00:14:42] Worker ID: Some(3), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:14:54] Worker ID: Some(1), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:15:08] Worker ID: Some(3), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:15:22] Worker ID: Some(3), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:15:35] Worker ID: Some(1), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:15:52] Worker ID: Some(3), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:16:09] Worker ID: Some(3), Checkpoint ID: Some(1014), Method: RFID, Status: Failed

[2025-03-06 00:18:55] Worker ID: Some(1), Checkpoint ID: Some(1015), Method: RFID, Status: Failed

[2025-03-06 00:19:12] Worker ID: Some(1), Checkpoint ID: Some(1015), Method: RFID, Status: Failed

[2025-03-06 00:19:26] Worker ID: Some(3), Checkpoint ID: Some(1015), Method: RFID, Status: Failed

[2025-03-06 00:19:43] Worker ID: Some(3), Checkpoint ID: Some(1015), Method: RFID, Status: Failed

[2025-03-06 00:20:08] Worker ID: Some(1), Checkpoint ID: Some(1015), Method: RFID, Status: Failed

[2025-03-06 00:20:36] Worker ID: Some(3), Checkpoint ID: Some(1015), Method: RFID, Status: Failed

[2025-03-27 01:07:37] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: Fingerprint, Status: Failed

[2025-03-27 01:08:14] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: Fingerprint, Status: Failed

[2025-03-27 01:08:49] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: Fingerprint, Status: Failed

[2025-03-27 01:09:19] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: Fingerprint, Status: Failed

[2025-03-27 01:10:22] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: Fingerprint, Status: Failed

[2025-03-27 01:15:23] Worker ID: Some(665119524598), Checkpoint ID: Some(1027), Method: Fingerprint, Status: Failed

[2025-03-27 01:20:34] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: Fingerprint, Status: Failed

[2025-03-27 01:56:12] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: Fingerprint, Status: Failed

[2025-03-27 01:56:27] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: Fingerprint, Status: Failed

[2025-03-27 01:56:42] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: Fingerprint, Status: Failed

[2025-03-27 01:57:00] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: Fingerprint, Status: Failed

[2025-03-27 01:57:20] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: Fingerprint, Status: Failed

[2025-03-27 01:57:35] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: Fingerprint, Status: Failed

[2025-03-27 01:58:17] Worker ID: Some(665119524598), Checkpoint ID: Some(1030), Method: Fingerprint, Status: Failed

[2025-03-27 01:58:35] Worker ID: Some(665119524598), Checkpoint ID: Some(1030), Method: Fingerprint, Status: Failed

[2025-03-27 01:58:55] Worker ID: Some(665119524598), Checkpoint ID: Some(1031), Method: Fingerprint, Status: Failed

[2025-03-27 04:08:51] Worker ID: Some(665119524598), Checkpoint ID: Some(1013), Method: RFID, Status: Successful

[2025-03-27 04:09:00] Worker ID: Some(665119524598), Checkpoint ID: Some(1013), Method: Fingerprint, Status: Failed

[2025-03-27 04:11:48] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:12:15] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:12:22] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:12:52] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:12:58] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:13:12] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:13:27] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:13:34] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:13:50] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:13:56] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:14:27] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:14:43] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:14:50] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:15:11] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:15:17] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: RFID, Status: Successful

[2025-03-27 04:15:44] Worker ID: Some(665119524598), Checkpoint ID: Some(1014), Method: Fingerprint, Status: Failed

[2025-03-27 04:18:47] Worker ID: Some(665119524598), Checkpoint ID: Some(1015), Method: RFID, Status: Successful

[2025-03-27 04:18:54] Worker ID: Some(665119524598), Checkpoint ID: Some(1015), Method: Fingerprint, Status: Failed

[2025-03-27 04:19:09] Worker ID: Some(665119524598), Checkpoint ID: Some(1015), Method: RFID, Status: Successful

[2025-03-27 04:19:16] Worker ID: Some(665119524598), Checkpoint ID: Some(1015), Method: Fingerprint, Status: Failed

[2025-03-27 04:19:31] Worker ID: Some(665119524598), Checkpoint ID: Some(1015), Method: RFID, Status: Successful

[2025-03-27 04:19:38] Worker ID: Some(665119524598), Checkpoint ID: Some(1015), Method: Fingerprint, Status: Failed

[2025-03-27 04:20:09] Worker ID: Some(665119524598), Checkpoint ID: Some(1016), Method: RFID, Status: Failed

[2025-03-27 04:20:16] Worker ID: Some(665119524598), Checkpoint ID: Some(1016), Method: RFID, Status: Failed

[2025-03-27 04:23:13] Worker ID: Some(665119524598), Checkpoint ID: Some(1017), Method: RFID, Status: Failed

[2025-03-27 04:23:38] Worker ID: Some(665119524598), Checkpoint ID: Some(1018), Method: RFID, Status: Successful

[2025-03-27 04:23:45] Worker ID: Some(665119524598), Checkpoint ID: Some(1018), Method: Fingerprint, Status: Failed

[2025-03-27 04:39:58] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: RFID, Status: Failed

[2025-03-27 04:42:51] Worker ID: Some(665119524598), Checkpoint ID: Some(1001), Method: RFID, Status: Successful

[2025-03-27 04:42:58] Worker ID: Some(665119524598), Checkpoint ID: Some(1001), Method: Fingerprint, Status: Failed

[2025-03-27 04:50:31] Worker ID: Some(665119524598), Checkpoint ID: Some(1002), Method: RFID, Status: Successful

[2025-03-27 04:50:38] Worker ID: Some(665119524598), Checkpoint ID: Some(1002), Method: Fingerprint, Status: Failed

[2025-03-27 05:11:53] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: RFID, Status: Successful

[2025-03-27 05:12:09] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 05:12:18] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: RFID, Status: Successful

[2025-03-27 05:12:32] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 05:12:45] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: RFID, Status: Successful

[2025-03-27 05:12:52] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 05:13:07] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: RFID, Status: Successful

[2025-03-27 05:13:25] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 05:14:54] Worker ID: Some(665119524598), Checkpoint ID: Some(1001), Method: RFID, Status: Successful

[2025-03-27 05:20:42] Worker ID: Some(665119524598), Checkpoint ID: Some(1002), Method: RFID, Status: Successful

[2025-03-27 05:24:59] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: RFID, Status: Successful

[2025-03-27 05:25:06] Worker ID: Some(665119524598), Checkpoint ID: Some(1003), Method: Fingerprint, Status: Successful

[2025-03-27 05:30:43] Worker ID: Some(665119524598), Checkpoint ID: Some(1004), Method: RFID, Status: Successful

[2025-03-27 05:30:50] Worker ID: Some(665119524598), Checkpoint ID: Some(1004), Method: Fingerprint, Status: Successful

[2025-03-27 05:31:08] Worker ID: Some(665119524598), Checkpoint ID: Some(1004), Method: RFID, Status: Successful

[2025-03-27 05:31:15] Worker ID: Some(665119524598), Checkpoint ID: Some(1004), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 05:31:27] Worker ID: Some(665119524598), Checkpoint ID: Some(1004), Method: RFID, Status: Successful

[2025-03-27 05:33:00] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: RFID, Status: Successful

[2025-03-27 05:33:07] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: Fingerprint, Status: Successful

[2025-03-27 05:33:22] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: RFID, Status: Successful

[2025-03-27 05:33:28] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: Fingerprint, Status: Successful

[2025-03-27 05:33:45] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: RFID, Status: Successful

[2025-03-27 05:33:51] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: Fingerprint, Status: Successful

[2025-03-27 05:34:04] Worker ID: Some(665119524598), Checkpoint ID: Some(1005), Method: RFID, Status: Successful

[2025-03-27 05:36:50] Worker ID: Some(665119524598), Checkpoint ID: Some(1006), Method: RFID, Status: Successful

[2025-03-27 05:36:57] Worker ID: Some(665119524598), Checkpoint ID: Some(1006), Method: Fingerprint, Status: Successful

[2025-03-27 05:37:13] Worker ID: Some(665119524598), Checkpoint ID: Some(1006), Method: RFID, Status: Successful

[2025-03-27 19:51:28] Worker ID: Some(665119524598), Checkpoint ID: Some(1021), Method: RFID, Status: Failed

[2025-03-27 19:51:37] Worker ID: Some(665119524598), Checkpoint ID: Some(1021), Method: RFID, Status: Failed

[2025-03-27 19:51:47] Worker ID: Some(665119524598), Checkpoint ID: Some(1021), Method: RFID, Status: Failed

[2025-03-27 19:52:01] Worker ID: Some(665119524598), Checkpoint ID: Some(1021), Method: RFID, Status: Failed

[2025-03-27 19:53:01] Worker ID: Some(665119524598), Checkpoint ID: Some(1022), Method: RFID, Status: Failed

[2025-03-27 19:53:26] Worker ID: Some(1075725502006), Checkpoint ID: Some(1022), Method: RFID, Status: Failed

[2025-03-27 19:54:40] Worker ID: Some(665119524598), Checkpoint ID: Some(1024), Method: RFID, Status: Failed

[2025-03-27 19:55:03] Worker ID: Some(665119524598), Checkpoint ID: Some(1025), Method: RFID, Status: Successful

[2025-03-27 19:55:10] Worker ID: Some(665119524598), Checkpoint ID: Some(1025), Method: Fingerprint, Status: Successful

[2025-03-27 19:55:24] Worker ID: Some(665119524598), Checkpoint ID: Some(1025), Method: RFID, Status: Successful

[2025-03-27 19:55:38] Worker ID: Some(665119524598), Checkpoint ID: Some(1025), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 19:55:44] Worker ID: Some(665119524598), Checkpoint ID: Some(1025), Method: RFID, Status: Successful

[2025-03-27 19:59:44] Worker ID: Some(1075725502006), Checkpoint ID: Some(1026), Method: RFID, Status: Failed

[2025-03-27 19:59:58] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: RFID, Status: Successful

[2025-03-27 20:00:04] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: Fingerprint, Status: Successful

[2025-03-27 20:00:17] Worker ID: Some(665119524598), Checkpoint ID: Some(1026), Method: RFID, Status: Successful

[2025-03-27 20:17:25] Worker ID: Some(665119524598), Checkpoint ID: Some(1027), Method: RFID, Status: Successful

[2025-03-27 20:21:43] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: RFID, Status: Successful

[2025-03-27 20:22:34] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:22:55] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: RFID, Status: Successful

[2025-03-27 20:23:01] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: Fingerprint, Status: Successful

[2025-03-27 20:23:15] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: RFID, Status: Successful

[2025-03-27 20:23:40] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:23:49] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: RFID, Status: Successful

[2025-03-27 20:24:01] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:24:07] Worker ID: Some(665119524598), Checkpoint ID: Some(1028), Method: RFID, Status: Successful

[2025-03-27 20:28:21] Worker ID: Some(665119524598), Checkpoint ID: Some(1029), Method: RFID, Status: Successful

[2025-03-27 20:37:23] Worker ID: Some(665119524598), Checkpoint ID: Some(1030), Method: RFID, Status: Successful

[2025-03-27 20:43:26] Worker ID: Some(665119524598), Checkpoint ID: Some(1031), Method: RFID, Status: Successful

[2025-03-27 20:43:33] Worker ID: Some(665119524598), Checkpoint ID: Some(1031), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:44:00] Worker ID: Some(665119524598), Checkpoint ID: Some(1031), Method: RFID, Status: Successful

[2025-03-27 20:44:08] Worker ID: Some(665119524598), Checkpoint ID: Some(1031), Method: Fingerprint, Status: Successful

[2025-03-27 20:45:46] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: RFID, Status: Successful

[2025-03-27 20:45:53] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:46:03] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: RFID, Status: Successful

[2025-03-27 20:46:09] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: Fingerprint, Status: Successful

[2025-03-27 20:46:22] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: RFID, Status: Successful

[2025-03-27 20:46:28] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: Fingerprint, Status: Successful

[2025-03-27 20:46:40] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: RFID, Status: Successful

[2025-03-27 20:46:46] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:47:02] Worker ID: Some(665119524598), Checkpoint ID: Some(1032), Method: RFID, Status: Successful

[2025-03-27 20:54:51] Worker ID: Some(665119524598), Checkpoint ID: Some(1033), Method: RFID, Status: Successful

[2025-03-27 20:54:58] Worker ID: Some(665119524598), Checkpoint ID: Some(1033), Method: Fingerprint, Status: Successful

[2025-03-27 20:55:11] Worker ID: Some(665119524598), Checkpoint ID: Some(1033), Method: RFID, Status: Successful

[2025-03-27 20:55:41] Worker ID: Some(665119524598), Checkpoint ID: Some(1033), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:55:50] Worker ID: Some(665119524598), Checkpoint ID: Some(1033), Method: RFID, Status: Successful

[2025-03-27 20:55:59] Worker ID: Some(665119524598), Checkpoint ID: Some(1033), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:56:19] Worker ID: Some(665119524598), Checkpoint ID: Some(1034), Method: RFID, Status: Successful

[2025-03-27 20:56:25] Worker ID: Some(665119524598), Checkpoint ID: Some(1034), Method: Fingerprint, Status: Successful

[2025-03-27 20:56:40] Worker ID: Some(665119524598), Checkpoint ID: Some(1034), Method: RFID, Status: Successful

[2025-03-27 20:58:42] Worker ID: Some(665119524598), Checkpoint ID: Some(1035), Method: RFID, Status: Successful

[2025-03-27 20:58:49] Worker ID: Some(665119524598), Checkpoint ID: Some(1035), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:58:58] Worker ID: Some(665119524598), Checkpoint ID: Some(1035), Method: RFID, Status: Successful

[2025-03-27 20:58:59] Worker ID: Some(665119524598), Checkpoint ID: Some(1035), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 20:59:05] Worker ID: Some(665119524598), Checkpoint ID: Some(1035), Method: RFID, Status: Successful

[2025-03-27 20:59:40] Worker ID: Some(665119524598), Checkpoint ID: Some(1036), Method: RFID, Status: Successful

[2025-03-27 20:59:48] Worker ID: Some(665119524598), Checkpoint ID: Some(1036), Method: Fingerprint, Status: Successful

[2025-03-27 21:00:05] Worker ID: Some(665119524598), Checkpoint ID: Some(1036), Method: RFID, Status: Successful

[2025-03-27 21:00:07] Worker ID: Some(665119524598), Checkpoint ID: Some(1036), Method: Fingerprint, Status: Failed - Mismatch

[2025-03-27 21:02:42] Worker ID: Some(665119524598), Checkpoint ID: Some(1037), Method: RFID, Status: Successful

[2025-03-27 21:02:49] Worker ID: Some(665119524598), Checkpoint ID: Some(1037), Method: Fingerprint, Status: Successful

[2025-03-27 21:03:05] Worker ID: Some(665119524598), Checkpoint ID: Some(1037), Method: RFID, Status: Successful

[2025-03-27 21:03:25] Worker ID: Some(665119524598), Checkpoint ID: Some(1037), Method: Fingerprint, Status: Failed - Mismatch

